"","ACP_name","site","latitude","longitude","Elevation"
"1","Agua Buena","AGUABUENA",9.12777777777778,-79.5986111111111,125
"2","Agua Clara","AGUACLARA",9.36444444444444,-79.7061111111111,459.9432
"3","Agua Salud","AGUASALUD",9.22444444444444,-79.7602777777778,171
"4","Alhajuela (Maddan)","ALHAJUELA",9.20638888888889,-79.6205555555556,39.624
"5","Amador","AMADOR",8.91666666666667,-79.5347222222222,2
"6","Arca Sonia","ARCASONIA",9.19333333333333,-79.515,265.176
"7","Balboa Heights","BALBOAHTS",8.95944444444444,-79.5541666666667,30.48
"8","Barbacoa","BARBACOA",9.12027777777778,-79.7972222222222,53
"9","Barro Colorado Island","BCI",9.16527777777778,-79.8363888888889,33.528
"10","Candelaria","CANDELARIA",9.38277777777778,-79.5163888888889,97.536
"11","Caño","CANO",9.07638888888889,-79.8227777777778,32.9184
"12","Caño Quebrado","CAÑOQUEBRADO",9.00472222222222,-79.8261111111111,32.4
"13","Cerro Cama","CERROCAMA",9.02666666666667,-79.9058333333333,120.0912
"14","Chagrecito","CHAGRECITO",9.39472222222222,-79.3055555555556,479
"15","Chamon","CHAMON",9.34194444444445,-79.3183333333333,640
"16","Chico","CHICO",9.26361111111111,-79.5097222222222,103.632
"17","Chico Cabecera","CHICOCABERCERA",9.35,-79.4636111111111,332
"18","Ciento","CIENTO",9.29777777777778,-79.7280555555556,38.1
"19","Cerro Cocolí","CERROCOCOLI",8.990267,-79.59175,37
"20","Cocle del Norte","COCLENORTE",9.073484,-80.572365,NA
"21","Cocolí 326","COCOLI326",8.9825,-79.5936111111111,37
"22","Corozal Oeste","COROZAL",8.97944444444444,-79.575,6.7735704
"23","Diablo Heights","DIABLO",8.96555555555556,-79.5733333333333,4.572
"24","Dos Bocas","DOSBOCAS",9.4525,-79.4311111111111,228.6
"25","El Chorro","CHORRO",8.97555555555556,-79.9902777777778,42.672
"26","Empire Hill","EMPIREHILL",9.05805555555556,-79.6647222222222,60.96
"27","Escandalosa","ESCANDALOSA",9.42361111111111,-79.5783333333333,480.06
"28","Esperanza","ESPERANZA",9.40972222222222,-79.3522222222222,542.544
"29","FAA","BALBOAFAA",8.96888888888889,-79.5494444444444,10.0584
"30","Frijolito","FRIJOLITO",9.21888888888889,-79.7161111111111,348.996
"31","Fort Sherman (STRI)","FTS",9.281031,-79.974518,NA
"32","Galeta (STRI)","GALETA",9.402742,-79.860837,1
"33","Gamboa","GAMBOA",9.11222222222222,-79.6938888888889,31.3944
"34","Gasparillal","GASPARILLAL",8.86277777777778,-80.0155555555556,345.948
"35","Gatún","GATUN",9.26833333333333,-79.9205555555556,30.48
"36","Gatun West","GATUNWEST",9.26305555555555,-79.9291666666667,32.9184
"37","Gold Hill","GOLDHILL",9.05111111111111,-79.655,179.832
"38","Guacha","GUACHA",9.17694444444444,-79.9388888888889,28.956
"39","Guarumal","GUARUMAL",9.20433333333333,-79.5256666666667,101
"40","Indio Este","INDIOESTE",9.204978,-79.518029,100.6
"41","Isla Bruja Chiquita","ISLABRUJA",9.21083333333333,-79.9172222222222,24
"42","Jagua","JAGUA",8.73722222222222,-80.0472222222222,545.592
"43","La Humedad","HUMEDAD",9.04833333333333,-80.0391666666667,30.48
"44","Las Cascadas","CASCADAS",9.08138888888889,-79.68,47.244
"45","Las Raices","RAICES",9.09194444444445,-79.9877777777778,33.528
"46","Limon Bay","LIMONBAY",9.35555555555556,-79.9147222222222,3.048
"47","Los Cañones","CANONES",8.94888888888889,-80.0625,103.632
"48","Los Darieles","LOSDARIELES",8.82416666666667,-80.2877777777778,NA
"49","Los Hules","LOSHULES",8.90527777777778,-80.2602777777778,221.9
"50","Miraflores","MIRAFLORES",9.01416666666667,-79.61,19.812
"51","Monte Lirio","MONTELIRIO",9.24111111111111,-79.8533333333333,33.528
"52","Nueva Borinquen","NUEVABORINQUEN",8.98638888888889,-79.5983333333333,NA
"53","Pedro Miguel","PEDROMIGUEL",9.02277777777778,-79.6172222222222,30.48
"54","Peluca","PELUCA",9.38,-79.5611111111111,106.68
"55","Punta Bohío","PUNTABOHIO",9.18416666666667,-79.8561111111111,25
"56","Punta Frijoles","PUNTAFRIJOLES",9.16,-79.8061111111111,55
"57","Rio Piedras","RIOPIEDRAS",9.28194444444444,-79.3980555555556,198.12
"58","Rio Piedras Arriba","RIOPIEDRASARRIBA",9.28194444444444,-79.3980555555556,201.168
"59","Salamanca","SALAMANCA",9.30444444444445,-79.5833333333333,79.248
"60","San Miguel","SANMIGUEL",9.42,-79.5041666666667,519.9888
"61","Santa Clara","SANTACLARA",9.03266666666667,-79.7518333333333,102
"62","Santa Rosa","SANTAROSA",9.18583333333333,-79.6541666666667,27.7368
"63","Sitio Víctor Valdéz","VICTORVALDEZ",9.00666666666667,-79.6191666666667,134
"64","Tranquilla","TRANQUILLA",9.25,-79.5666666666667,64
"65","Valle Central Gatún","VALLECENTRALGATUN",9.37583333333333,-79.6386111111111,200
"66","Vistamares","VISTAMARES",9.23444444444444,-79.4013888888889,968.6544
"67","Toabré San Vicente","SANVICENTE",8.885783,-80.417233,NA
"68","Zanguenga","ZANGUENGA",8.96861111111111,-79.8677777777778,109.728
"69","Balboa Docks","BALBOADOCKS",8.95,-79.566667,4
"70","Batatilla","BATATILLA",8.91694444444444,80.5008333333333,13.716
"71","Bateales","BATEALES",8.725,80.5663888888889,NA
"72","Boca de Tucué","BOCATUCUE",8.75316666666667,80.3279,NA
"73","Boca de Uracillo","URACILLO",8.97583333333333,80.175,9.144
"74","Canoa","CANOA",8.88583333333333,80.5572222222222,12.192
"75","Chisná","CHISNA",8.78805555555556,80.4783333333333,NA
"76","Coco Solo","COCOSOLO",9.36666666666667,79.8833333333333,4.572
"77","Cristobal","CRISTOBAL",9.35,-79.9,8.5344
"78","El Fraile","FRAILE",8.80046666666667,80.5344166666667,NA
"79","Hodges Hill","HODGESHILL",9.04416666666667,79.6513888888889,70.104
"80","Indio Los Chorros","INDIOCHORROS",8.76166666666667,80.1266666666667,NA
"81","Las Marias","MARIAS",8.88333333333333,80.22125,NA
"82","Limpio","LIMPIO",9.32805555555555,79.4686111111111,683.9712
"83","Loma Grande","LOMAGRANDE",8.86666666666667,80.45,NA
"84","Nuevo San Juan","NUEVOSANJUAN",NA,NA,NA
"85","Nuevo Vigía","NUEVOVIGÍA",9.26178333333333,79.5899833333333,80.772
"86","Ranchería","RANCHERIA",8.74416666666667,80.4844444444444,NA
"87","Rio Piedras (RIVER)","RIOPIEDRAS",8.98638888888889,79.5983333333333,198.12
"88","San Pedro","SANPEDRO",8.73333333333333,80.2238888888889,NA
"89","Palmarazo","PALMARAZO",8.7336,-80.6544,NA
